,region,constituency,name,txx_trend
163,163,,E14001226,0.3351460099220276
164,164,,E14001227,0.3329111933708191
165,165,,E14001228,0.27309295535087585
166,166,,E14001229,0.34576132893562317
167,167,,E14001230,0.3204335570335388
168,168,,E14001231,0.0
169,169,,E14001232,0.11302517354488373
170,170,,E14001233,0.23243817687034607
171,171,,E14001234,0.2624528110027313
172,172,,E14001235,0.36093562841415405
173,173,,E14001236,0.0
174,174,,E14001237,0.20906583964824677
175,175,,E14001238,0.3305646777153015
176,176,,E14001239,0.35226088762283325
177,177,,E14001240,0.22178560495376587
178,178,,E14001241,0.19093291461467743
179,179,,E14001242,0.21673867106437683
180,180,,E14001243,0.18502166867256165
181,181,,E14001244,0.0
182,182,,E14001245,0.2719383239746094
183,183,,E14001246,0.0
184,184,,E14001247,0.19290077686309814
