,region,constituency,name,pr_ann_anom
69,69,,E14001132,0.07312798500061035
70,70,,E14001133,0.0
71,71,,E14001134,0.091094970703125
72,72,,E14001135,0.0
73,73,,E14001136,0.035747647285461426
74,74,,E14001137,0.0
75,75,,E14001138,0.021038293838500977
76,76,,E14001139,0.038445234298706055
77,77,,E14001140,0.0
78,78,,E14001141,0.04650473594665527
79,79,,E14001142,0.05953574180603027
80,80,,E14001143,0.02154254913330078
81,81,,E14001144,0.0
82,82,,E14001145,0.06749868392944336
83,83,,E14001146,0.02343718148767948
84,84,,E14001147,0.045858681201934814
85,85,,E14001148,0.07812273502349854
86,86,,E14001149,0.0
87,87,,E14001150,0.0
88,88,,E14001151,0.048343777656555176
89,89,,E14001152,0.049448411911726
90,90,,E14001153,0.0
91,91,,E14001154,0.03517603874206543
92,92,,E14001155,0.052181243896484375
93,93,,E14001156,0.02471637725830078
94,94,,E14001157,0.02618098258972168
95,95,,E14001158,0.0
96,96,,E14001159,0.0
97,97,,E14001160,0.0
98,98,,E14001161,0.0
99,99,,E14001162,0.0285189151763916
100,100,,E14001163,0.0
101,101,,E14001164,0.03921627998352051
102,102,,E14001165,0.0
103,103,,E14001166,0.06498432159423828
104,104,,E14001167,0.0
105,105,,E14001168,0.0463600754737854
106,106,,E14001169,0.0
107,107,,E14001170,0.07973337173461914
108,108,,E14001171,0.0430150032043457
109,109,,E14001172,0.0
110,110,,E14001173,0.01700890064239502
111,111,,E14001174,0.03670501708984375
112,112,,E14001175,0.0
113,113,,E14001176,0.0
114,114,,E14001177,0.03814685344696045
115,115,,E14001178,0.05734753608703613
116,116,,E14001179,0.03287762403488159
117,117,,E14001180,0.031032800674438477
118,118,,E14001181,0.0251772403717041
119,119,,E14001182,0.0
120,120,,E14001183,0.02638423442840576
121,121,,E14001184,0.0
122,122,,E14001185,0.04673314094543457
123,123,,E14001186,0.0
124,124,,E14001187,0.0
125,125,,E14001188,0.0
126,126,,E14001189,0.0
127,127,,E14001190,0.02321481704711914
128,128,,E14001191,0.029222846031188965
129,129,,E14001192,0.03787139430642128
130,130,,E14001193,0.02216362953186035
131,131,,E14001194,0.0
132,132,,E14001195,0.02878090739250183
133,133,,E14001196,0.0
134,134,,E14001197,0.03275651857256889
135,135,,E14001198,0.02376532554626465
136,136,,E14001199,0.026835322380065918
137,137,,E14001200,0.02325594425201416
138,138,,E14001201,0.02717900276184082
139,139,,E14001202,0.04814767837524414
140,140,,E14001203,0.03198552131652832
141,141,,E14001204,0.0
142,142,,E14001205,0.028662443161010742
143,143,,E14001206,0.034111976623535156
144,144,,E14001207,0.0
145,145,,E14001208,0.0
146,146,,E14001209,0.0
147,147,,E14001210,0.032039642333984375
148,148,,E14001211,0.021181106567382812
149,149,,E14001212,0.03448629379272461
150,150,,E14001213,0.0
151,151,,E14001214,0.03735927864909172
152,152,,E14001215,0.017700552940368652
153,153,,E14001216,0.0
154,154,,E14001217,0.033848099410533905
155,155,,E14001218,0.0
156,156,,E14001219,0.0
157,157,,E14001220,0.047223567962646484
158,158,,E14001221,0.0
159,159,,E14001222,0.09065103530883789
160,160,,E14001223,0.026280641555786133
161,161,,E14001224,0.02199753187596798
162,162,,E14001225,0.0
163,163,,E14001226,0.03722405433654785
164,164,,E14001227,0.027071475982666016
165,165,,E14001228,0.022692441940307617
166,166,,E14001229,0.0
167,167,,E14001230,0.0
168,168,,E14001231,0.0
169,169,,E14001232,0.04326832294464111
170,170,,E14001233,0.0
171,171,,E14001234,0.0318455696105957
172,172,,E14001235,0.026494741439819336
173,173,,E14001236,0.036544084548950195
174,174,,E14001237,0.0
175,175,,E14001238,0.0
176,176,,E14001239,0.0644845962524414
177,177,,E14001240,0.040680646896362305
178,178,,E14001241,0.047264933586120605
179,179,,E14001242,0.08464956283569336
180,180,,E14001243,0.019771870225667953
181,181,,E14001244,0.025229930877685547
182,182,,E14001245,0.0
183,183,,E14001246,0.0
184,184,,E14001247,0.05025911331176758
185,185,,E14001248,0.0
186,186,,E14001249,0.028691768646240234
187,187,,E14001250,0.032098736613988876
188,188,,E14001251,0.08532381057739258
