,region,constituency,name,cdd_anom
178,178,,E14001241,0.5735516548156738
179,179,,E14001242,-0.34130096435546875
180,180,,E14001243,-0.09492719918489456
181,181,,E14001244,-0.31739044189453125
182,182,,E14001245,0.0
183,183,,E14001246,0.0
184,184,,E14001247,0.7298908233642578
185,185,,E14001248,0.0
186,186,,E14001249,0.5649757385253906
187,187,,E14001250,-0.39503178000450134
188,188,,E14001251,-0.36304473876953125
189,189,,E14001252,0.4934806823730469
190,190,,E14001253,0.13318786025047302
191,191,,E14001254,0.29347801208496094
192,192,,E14001255,-0.13985443115234375
193,193,,E14001256,0.4024149477481842
194,194,,E14001257,0.0
195,195,,E14001258,0.0
196,196,,E14001259,0.10217857360839844
197,197,,E14001260,0.0
198,198,,E14001261,0.05869483947753906
199,199,,E14001262,0.0
200,200,,E14001263,0.0
201,201,,E14001264,0.0
202,202,,E14001265,0.2347850799560547
203,203,,E14001266,-0.1079702377319336
204,204,,E14001267,0.4304370880126953
205,205,,E14001268,0.454348087310791
206,206,,E14001269,-0.03043651580810547
207,207,,E14001270,0.0
208,208,,E14001271,0.0
209,209,,E14001272,-0.29347991943359375
210,210,,E14001273,0.5201692581176758
211,211,,E14001274,0.42680931091308594
212,212,,E14001275,0.0
213,213,,E14001276,0.0
214,214,,E14001277,0.0
215,215,,E14001278,0.0
216,216,,E14001279,0.0
217,217,,E14001280,0.2900362014770508
218,218,,E14001281,0.15434810519218445
219,219,,E14001282,0.616668701171875
220,220,,E14001283,0.45507335662841797
221,221,,E14001284,0.39673709869384766
222,222,,E14001285,-0.3570745885372162
223,223,,E14001286,-0.41956520080566406
224,224,,E14001287,-0.33894920349121094
225,225,,E14001288,-0.02318859100341797
226,226,,E14001289,0.5568838119506836
227,227,,E14001290,0.0
228,228,,E14001291,0.7820634841918945
229,229,,E14001292,0.474639892578125
230,230,,E14001293,0.0
231,231,,E14001294,0.46485424041748047
232,232,,E14001295,-0.39275455474853516
233,233,,E14001296,0.0
234,234,,E14001297,0.0
235,235,,E14001298,0.4158210754394531
236,236,,E14001299,-0.28333473205566406
237,237,,E14001300,0.2869548797607422
238,238,,E14001301,0.0
239,239,,E14001302,0.5413036346435547
240,240,,E14001303,0.7934818267822266
241,241,,E14001304,0.8181180953979492
242,242,,E14001305,0.0
243,243,,E14001306,0.0
244,244,,E14001307,-0.5637693405151367
245,245,,E14001308,-0.07367166131734848
246,246,,E14001309,0.19652137160301208
247,247,,E14001310,0.0
248,248,,E14001311,0.08586788177490234
249,249,,E14001312,0.0
250,250,,E14001313,0.0
251,251,,E14001314,0.0
252,252,,E14001315,0.0
253,253,,E14001316,0.07536125183105469
254,254,,E14001317,-0.5557994842529297
255,255,,E14001318,-0.42934727668762207
256,256,,E14001319,-0.04058265686035156
257,257,,E14001320,0.0442047119140625
258,258,,E14001321,0.0
259,259,,E14001322,0.0
260,260,,E14001323,0.0
261,261,,E14001324,0.0
262,262,,E14001325,0.0007257461547851562
263,263,,E14001326,0.0
264,264,,E14001327,0.0
265,265,,E14001328,0.0
266,266,,E14001329,0.0
267,267,,E14001330,0.30761003494262695
268,268,,E14001331,0.0
269,269,,E14001332,0.0
270,270,,E14001333,0.0
271,271,,E14001334,0.0
272,272,,E14001335,-0.09347796440124512
273,273,,E14001336,0.1507282257080078
274,274,,E14001337,0.0
275,275,,E14001338,0.0
276,276,,E14001339,-0.4557991027832031
277,277,,E14001340,0.0
278,278,,E14001341,0.0
279,279,,E14001342,-0.09637451171875
280,280,,E14001343,0.2451913207769394
281,281,,E14001344,0.7286214828491211
282,282,,E14001345,0.0
283,283,,E14001346,0.0
284,284,,E14001347,-0.3480076789855957
285,285,,E14001348,0.6876811981201172
286,286,,E14001349,0.0
287,287,,E14001350,0.0
288,288,,E14001351,0.35956382751464844
289,289,,E14001352,0.0
290,290,,E14001353,0.0
291,291,,E14001354,0.0
292,292,,E14001355,-0.23333454132080078
293,293,,E14001356,0.5771722793579102
294,294,,E14001357,0.05196680501103401
295,295,,E14001358,-0.20796966552734375
296,296,,E14001359,0.277294784784317
297,297,,E14001360,0.3852168917655945
298,298,,E14001361,-0.22681188583374023
299,299,,E14001362,-0.38985347747802734
300,300,,E14001363,1.0060361623764038
301,301,,E14001364,0.2626800537109375
302,302,,E14001365,0.3810555636882782
303,303,,E14001366,0.2826080322265625
304,304,,E14001367,-0.2173929214477539
305,305,,E14001368,-0.2786226272583008
306,306,,E14001369,0.0
307,307,,E14001370,0.1318836212158203
308,308,,E14001371,0.0
309,309,,E14001372,-0.468012273311615
310,310,,E14001373,0.5449285507202148
311,311,,E14001374,0.6137701869010925
312,312,,E14001375,-0.1694437712430954
313,313,,E14001376,0.49674034118652344
314,314,,E14001377,0.0
315,315,,E14001378,0.0
316,316,,E14001379,0.0
317,317,,E14001380,-0.32318782806396484
318,318,,E14001381,0.8789844512939453
319,319,,E14001382,-0.40434694290161133
320,320,,E14001383,-0.12681102752685547
321,321,,E14001384,0.3753630220890045
322,322,,E14001385,0.5472980737686157
323,323,,E14001386,0.3081323802471161
324,324,,E14001387,0.5014484524726868
325,325,,E14001388,0.8634567260742188
326,326,,E14001389,-0.5101439356803894
327,327,,E14001390,0.3737916946411133
328,328,,E14001391,-0.058876991271972656
329,329,,E14001392,0.4148530960083008
330,330,,E14001393,0.6572456359863281
331,331,,E14001394,0.6076107025146484
332,332,,E14001395,0.2588280737400055
333,333,,E14001396,0.33768177032470703
334,334,,E14001397,-0.49920958280563354
335,335,,E14001398,0.12608636915683746
336,336,,E14001399,0.7072467803955078
337,337,,E14001400,-0.1307973861694336
338,338,,E14001401,0.21594619750976562
339,339,,E14001402,0.6159431338310242
340,340,,E14001403,0.5381634831428528
341,341,,E14001404,0.1902170181274414
342,342,,E14001405,0.4369566738605499
343,343,,E14001406,0.0
344,344,,E14001407,0.0
345,345,,E14001408,0.0
346,346,,E14001409,0.0
347,347,,E14001410,0.0
348,348,,E14001411,0.0
349,349,,E14001412,-0.13188552856445312
350,350,,E14001413,0.0
351,351,,E14001414,0.0
352,352,,E14001415,-0.47101306915283203
353,353,,E14001416,0.0
354,354,,E14001417,0.48985862731933594
355,355,,E14001418,-0.20072507858276367
356,356,,E14001419,0.0
357,357,,E14001420,0.3724632263183594
358,358,,E14001421,0.0
359,359,,E14001422,-0.5442047119140625
360,360,,E14001423,-0.18430042266845703
361,361,,E14001424,-0.304796040058136
362,362,,E14001425,0.0
363,363,,E14001426,0.0
364,364,,E14001427,0.0
365,365,,E14001428,0.12970733642578125
366,366,,E14001429,1.1195697784423828
