,region,constituency,name,t_trend
74,74,,E14001137,0.0
75,75,,E14001138,0.19792209565639496
76,76,,E14001139,0.21805281937122345
77,77,,E14001140,0.20463043451309204
78,78,,E14001141,0.21222607791423798
79,79,,E14001142,0.1829180121421814
80,80,,E14001143,0.1888294368982315
81,81,,E14001144,0.18264205753803253
82,82,,E14001145,0.0
83,83,,E14001146,0.21990907192230225
84,84,,E14001147,0.1783924102783203
85,85,,E14001148,0.1385342925786972
86,86,,E14001149,0.22302669286727905
87,87,,E14001150,0.19287662208080292
88,88,,E14001151,0.2173328995704651
89,89,,E14001152,0.15929101407527924
90,90,,E14001153,0.0
91,91,,E14001154,0.0
92,92,,E14001155,0.15898573398590088
93,93,,E14001156,0.2176966667175293
94,94,,E14001157,0.0
95,95,,E14001158,0.0
96,96,,E14001159,0.0
97,97,,E14001160,0.0
98,98,,E14001161,0.196547269821167
99,99,,E14001162,0.2125796377658844
100,100,,E14001163,0.17794561386108398
101,101,,E14001164,0.19115419685840607
102,102,,E14001165,0.0
103,103,,E14001166,0.19381392002105713
104,104,,E14001167,0.21677733957767487
105,105,,E14001168,0.19540752470493317
106,106,,E14001169,0.0
107,107,,E14001170,0.17632129788398743
108,108,,E14001171,0.18402495980262756
109,109,,E14001172,0.0
110,110,,E14001173,0.17434780299663544
111,111,,E14001174,0.215821772813797
112,112,,E14001175,0.0
113,113,,E14001176,0.21447838842868805
114,114,,E14001177,0.17463266849517822
115,115,,E14001178,0.18878664076328278
116,116,,E14001179,0.21695886552333832
117,117,,E14001180,0.0
118,118,,E14001181,0.0
119,119,,E14001182,0.20137739181518555
120,120,,E14001183,0.16340887546539307
121,121,,E14001184,0.21244624257087708
122,122,,E14001185,0.19048649072647095
123,123,,E14001186,0.0
124,124,,E14001187,0.0
125,125,,E14001188,0.0
126,126,,E14001189,0.2148667722940445
127,127,,E14001190,0.18274062871932983
128,128,,E14001191,0.21536551415920258
129,129,,E14001192,0.2090636044740677
130,130,,E14001193,0.0
131,131,,E14001194,0.19798386096954346
132,132,,E14001195,0.1849270462989807
133,133,,E14001196,0.0
134,134,,E14001197,0.20626872777938843
135,135,,E14001198,0.2029895931482315
136,136,,E14001199,0.2027949094772339
137,137,,E14001200,0.20172218978405
138,138,,E14001201,0.21432611346244812
139,139,,E14001202,0.21845416724681854
140,140,,E14001203,0.1996312141418457
141,141,,E14001204,0.0
142,142,,E14001205,0.0
143,143,,E14001206,0.21433380246162415
144,144,,E14001207,0.0
145,145,,E14001208,0.0
146,146,,E14001209,0.21428894996643066
147,147,,E14001210,0.20844213664531708
148,148,,E14001211,0.17436087131500244
149,149,,E14001212,0.21159854531288147
150,150,,E14001213,0.0
151,151,,E14001214,0.20198866724967957
152,152,,E14001215,0.2146410048007965
153,153,,E14001216,0.0
154,154,,E14001217,0.19803336262702942
155,155,,E14001218,0.0
156,156,,E14001219,0.2097996473312378
157,157,,E14001220,0.19727559387683868
158,158,,E14001221,0.0
159,159,,E14001222,0.0
160,160,,E14001223,0.0
161,161,,E14001224,0.2232028692960739
162,162,,E14001225,0.0
163,163,,E14001226,0.21719405055046082
164,164,,E14001227,0.21575388312339783
165,165,,E14001228,0.20596495270729065
166,166,,E14001229,0.2161121517419815
167,167,,E14001230,0.2150072306394577
168,168,,E14001231,0.0
169,169,,E14001232,0.17000439763069153
170,170,,E14001233,0.192827045917511
171,171,,E14001234,0.2077515721321106
172,172,,E14001235,0.21695475280284882
173,173,,E14001236,0.0
174,174,,E14001237,0.18769264221191406
175,175,,E14001238,0.21503379940986633
176,176,,E14001239,0.2214348316192627
177,177,,E14001240,0.19612425565719604
178,178,,E14001241,0.18748943507671356
179,179,,E14001242,0.16661204397678375
180,180,,E14001243,0.20054520666599274
181,181,,E14001244,0.0
182,182,,E14001245,0.20686031877994537
183,183,,E14001246,0.0
184,184,,E14001247,0.18697386980056763
185,185,,E14001248,0.0
186,186,,E14001249,0.21140852570533752
187,187,,E14001250,0.19381974637508392
188,188,,E14001251,0.0
189,189,,E14001252,0.0
190,190,,E14001253,0.21225495636463165
191,191,,E14001254,0.2150733470916748
192,192,,E14001255,0.0
193,193,,E14001256,0.2149396538734436
194,194,,E14001257,0.2178846150636673
195,195,,E14001258,0.21521204710006714
196,196,,E14001259,0.0
197,197,,E14001260,0.0
198,198,,E14001261,0.0
199,199,,E14001262,0.0
200,200,,E14001263,0.19190630316734314
201,201,,E14001264,0.21496592462062836
202,202,,E14001265,0.0
203,203,,E14001266,0.20808297395706177
204,204,,E14001267,0.21740593016147614
205,205,,E14001268,0.2142607569694519
206,206,,E14001269,0.19368760287761688
207,207,,E14001270,0.21421456336975098
208,208,,E14001271,0.0
209,209,,E14001272,0.17346429824829102
210,210,,E14001273,0.214913010597229
211,211,,E14001274,0.0
212,212,,E14001275,0.0
213,213,,E14001276,0.0
214,214,,E14001277,0.18151886761188507
215,215,,E14001278,0.2133239060640335
216,216,,E14001279,0.0
217,217,,E14001280,0.21019230782985687
218,218,,E14001281,0.19127635657787323
219,219,,E14001282,0.21619045734405518
220,220,,E14001283,0.21833111345767975
221,221,,E14001284,0.21531829237937927
222,222,,E14001285,0.16065652668476105
223,223,,E14001286,0.1823912262916565
224,224,,E14001287,0.17539702355861664
225,225,,E14001288,0.20234286785125732
226,226,,E14001289,0.2185710370540619
