,region,constituency,name,pr_djf_anom
411,411,,E14001474,0.0
412,412,,E14001475,0.19380831718444824
413,413,,E14001476,0.16006223857402802
414,414,,E14001477,0.0
415,415,,E14001478,0.0
416,416,,E14001479,0.20248198509216309
417,417,,E14001480,0.17735838890075684
418,418,,E14001481,0.15988314151763916
419,419,,E14001482,0.1916467696428299
420,420,,E14001483,0.18646550178527832
421,421,,E14001484,0.2468198835849762
422,422,,E14001485,0.2905343472957611
423,423,,E14001486,0.2437184602022171
424,424,,E14001487,0.16694007813930511
425,425,,E14001488,0.1992693543434143
426,426,,E14001489,0.15724699199199677
427,427,,E14001490,0.1888834685087204
428,428,,E14001491,0.3085298538208008
429,429,,E14001492,0.1378331184387207
430,430,,E14001493,0.1856803447008133
431,431,,E14001494,0.16571569442749023
432,432,,E14001495,0.29587650299072266
433,433,,E14001496,0.18224692344665527
434,434,,E14001497,0.17023292183876038
435,435,,E14001498,0.20331819355487823
436,436,,E14001499,0.0
437,437,,E14001500,0.22141170501708984
438,438,,E14001501,0.17912256717681885
439,439,,E14001502,0.18214035034179688
440,440,,E14001503,0.0
441,441,,E14001504,0.325467586517334
442,442,,E14001505,0.0
443,443,,E14001506,0.18565630912780762
444,444,,E14001507,0.0
445,445,,E14001508,0.24915361404418945
446,446,,E14001509,0.0
447,447,,E14001510,0.21758174896240234
448,448,,E14001511,0.26807117462158203
449,449,,E14001512,0.16333706676959991
450,450,,E14001513,0.20479369163513184
451,451,,E14001514,0.2191491723060608
452,452,,E14001515,0.30418825149536133
453,453,,E14001516,0.0
454,454,,E14001517,0.0
455,455,,E14001518,0.15250706672668457
456,456,,E14001519,0.1414792537689209
457,457,,E14001520,0.0
458,458,,E14001521,0.2555837631225586
459,459,,E14001522,0.20537002384662628
460,460,,E14001523,0.21218085289001465
461,461,,E14001524,0.0
462,462,,E14001525,0.0
463,463,,E14001526,0.19488787651062012
464,464,,E14001527,0.0
465,465,,E14001528,0.2107696533203125
466,466,,E14001529,0.22215783596038818
467,467,,E14001530,0.16603140532970428
468,468,,E14001531,0.0
469,469,,E14001532,0.17813539505004883
470,470,,E14001533,0.22377605736255646
471,471,,E14001534,0.0
472,472,,E14001535,0.20604348182678223
473,473,,E14001536,0.18007421493530273
474,474,,E14001537,0.18848633766174316
475,475,,E14001538,0.19993257522583008
476,476,,E14001539,0.21173842251300812
477,477,,E14001540,0.20422983169555664
478,478,,E14001541,0.18855834007263184
479,479,,E14001542,0.21366286277770996
480,480,,E14001543,0.18852877616882324
481,481,,E14001544,0.1550041288137436
482,482,,E14001545,0.23168811202049255
483,483,,E14001546,0.0
484,484,,E14001547,0.0
485,485,,E14001548,0.22953613102436066
486,486,,E14001549,0.1907334327697754
487,487,,E14001550,0.1878218650817871
488,488,,E14001551,0.20232367515563965
489,489,,E14001552,0.31412166357040405
490,490,,E14001553,0.0
491,491,,E14001554,0.26371240615844727
492,492,,E14001555,0.19189023971557617
493,493,,E14001556,0.0
494,494,,E14001557,0.0
495,495,,E14001558,0.18011045455932617
496,496,,E14001559,0.0
497,497,,E14001560,0.0
498,498,,E14001561,0.31292724609375
499,499,,E14001562,0.0
500,500,,E14001563,0.0
501,501,,E14001564,0.19866275787353516
502,502,,E14001565,0.0
503,503,,E14001566,0.2003626823425293
504,504,,E14001567,0.0
505,505,,E14001568,0.0
506,506,,E14001569,0.16175296902656555
507,507,,E14001570,0.20421230792999268
508,508,,E14001571,0.17820286750793457
509,509,,E14001572,0.2461767941713333
510,510,,E14001573,0.17372345924377441
511,511,,E14001574,0.0
512,512,,E14001575,0.2547815144062042
513,513,,E14001576,0.0
514,514,,E14001577,0.2598443031311035
515,515,,E14001578,0.16782434284687042
516,516,,E14001579,0.1925828754901886
517,517,,E14001580,0.1987190991640091
518,518,,E14001581,0.2646484375
519,519,,E14001582,0.1610204577445984
520,520,,E14001583,0.36080050468444824
521,521,,E14001584,0.0
522,522,,E14001585,0.24881267547607422
523,523,,E14001586,0.0
524,524,,E14001587,0.22680458426475525
525,525,,E14001588,0.17876696586608887
526,526,,E14001589,0.2218339443206787
527,527,,E14001590,0.16747546195983887
528,528,,E14001591,0.1755095273256302
529,529,,E14001592,0.18516898155212402
530,530,,E14001593,0.17652320861816406
531,531,,E14001594,0.0
