,region,constituency,name,cdd_trend
114,114,,E14001177,-0.48846596479415894
115,115,,E14001178,-0.32787662744522095
116,116,,E14001179,-0.4882511496543884
117,117,,E14001180,0.0
118,118,,E14001181,0.0
119,119,,E14001182,-0.5132603049278259
120,120,,E14001183,-0.10120765119791031
121,121,,E14001184,-0.12105821818113327
122,122,,E14001185,-0.43082189559936523
123,123,,E14001186,0.0
124,124,,E14001187,0.0
125,125,,E14001188,0.0
126,126,,E14001189,-0.37716540694236755
127,127,,E14001190,-0.4917972683906555
128,128,,E14001191,-0.5330660343170166
129,129,,E14001192,-0.5092746019363403
130,130,,E14001193,0.0
131,131,,E14001194,-0.7083544135093689
132,132,,E14001195,-0.46899768710136414
133,133,,E14001196,0.0
134,134,,E14001197,-0.5983090996742249
135,135,,E14001198,-0.6993640661239624
136,136,,E14001199,-0.6692797541618347
137,137,,E14001200,-0.6858170628547668
138,138,,E14001201,-0.27104589343070984
139,139,,E14001202,0.17229950428009033
140,140,,E14001203,-0.41419756412506104
141,141,,E14001204,0.0
142,142,,E14001205,0.0
143,143,,E14001206,-0.6376545429229736
144,144,,E14001207,0.0
145,145,,E14001208,0.0
146,146,,E14001209,-0.6628077030181885
147,147,,E14001210,-0.4220794439315796
148,148,,E14001211,-0.6372861862182617
149,149,,E14001212,-0.17688532173633575
150,150,,E14001213,0.0
151,151,,E14001214,-0.28676873445510864
152,152,,E14001215,-0.23283687233924866
153,153,,E14001216,0.0
154,154,,E14001217,-0.29584503173828125
155,155,,E14001218,0.0
156,156,,E14001219,0.27421069145202637
157,157,,E14001220,-0.2028166651725769
158,158,,E14001221,0.0
159,159,,E14001222,0.0
160,160,,E14001223,0.0
161,161,,E14001224,-0.43187063932418823
162,162,,E14001225,0.0
163,163,,E14001226,-0.1295763999223709
164,164,,E14001227,-0.43345433473587036
165,165,,E14001228,-0.7180955410003662
166,166,,E14001229,-0.2772846221923828
167,167,,E14001230,-0.46163421869277954
168,168,,E14001231,0.0
169,169,,E14001232,-0.12530550360679626
170,170,,E14001233,-0.11262267827987671
171,171,,E14001234,-0.3133436143398285
172,172,,E14001235,-0.2761154770851135
173,173,,E14001236,0.0
174,174,,E14001237,-0.30808982253074646
175,175,,E14001238,-0.4898282587528229
176,176,,E14001239,-0.1077946126461029
177,177,,E14001240,-0.44377782940864563
178,178,,E14001241,-0.41330787539482117
179,179,,E14001242,-0.7247864007949829
180,180,,E14001243,-0.49537599086761475
181,181,,E14001244,0.0
182,182,,E14001245,-0.8240156173706055
183,183,,E14001246,0.0
184,184,,E14001247,-0.2757207453250885
185,185,,E14001248,0.0
186,186,,E14001249,-0.5007951855659485
187,187,,E14001250,-0.5928658246994019
188,188,,E14001251,0.0
189,189,,E14001252,0.0
190,190,,E14001253,-0.6748294830322266
191,191,,E14001254,-0.6205708980560303
192,192,,E14001255,0.0
193,193,,E14001256,0.17129138112068176
194,194,,E14001257,-0.20952638983726501
195,195,,E14001258,-0.002025664085522294
196,196,,E14001259,0.0
197,197,,E14001260,0.0
198,198,,E14001261,0.0
199,199,,E14001262,0.0
200,200,,E14001263,-0.13879340887069702
201,201,,E14001264,-0.5222955346107483
202,202,,E14001265,0.0
203,203,,E14001266,-0.7367184162139893
204,204,,E14001267,-0.3771512508392334
205,205,,E14001268,-0.42403310537338257
206,206,,E14001269,-0.8329713940620422
207,207,,E14001270,-0.5585355758666992
208,208,,E14001271,0.0
209,209,,E14001272,-0.531703770160675
210,210,,E14001273,-0.41392645239830017
211,211,,E14001274,0.0
212,212,,E14001275,0.0
213,213,,E14001276,0.0
214,214,,E14001277,-0.4653078019618988
215,215,,E14001278,-0.6922813653945923
216,216,,E14001279,0.0
217,217,,E14001280,-0.6130827069282532
218,218,,E14001281,-0.29809585213661194
219,219,,E14001282,-0.05376430228352547
220,220,,E14001283,-0.25011521577835083
221,221,,E14001284,-0.468336820602417
222,222,,E14001285,-0.3636234700679779
223,223,,E14001286,-0.25448763370513916
