,region,constituency,name,pr_ann_anom
367,368,E14000897,Rochdale,0.040950775
368,369,E14000898,Rochester and Strood,0.03994274
369,370,E14000899,Rochford and Southend East,0.041113853
370,371,E14000900,Romford,0.03774929
371,372,E14000901,Romsey and Southampton North,0.030997753
372,373,E14000902,Rossendale and Darwen,0.05349803
373,374,E14000903,Rother Valley,0.028751135
374,375,E14000904,Rotherham,0.030206442
375,376,E14000905,Rugby,0.03814435
376,377,E14000906,"Ruislip, Northwood and Pinner",0.035749674
377,378,E14000907,Runnymede and Weybridge,0.032393694
378,379,E14000908,Rushcliffe,0.023941755
379,380,E14000909,Rutland and Melton,0.03120754
380,381,E14000910,Saffron Walden,0.024367237
381,382,E14000911,Salford and Eccles,0.050895452
382,383,E14000912,Salisbury,0.032823563
383,384,E14000913,Scarborough and Whitby,0.012073557
384,385,E14000914,Scunthorpe,0.022594929
385,386,E14000915,Sedgefield,0.016875649
386,387,E14000916,Sefton Central,0.08775115
387,388,E14000917,Selby and Ainsty,0.03280064
388,389,E14000918,Sevenoaks,0.01302433
389,390,E14000919,Sheffield Central,0.031864166
390,391,E14000920,Sheffield South East,0.031864166
391,392,E14000921,"Sheffield, Brightside and Hillsborough",0.031864166
392,393,E14000922,"Sheffield, Hallam",0.023738861
393,394,E14000923,"Sheffield, Heeley",0.02908039
394,395,E14000924,Sherwood,0.027082285
395,396,E14000925,Shipley,0.04180479
396,397,E14000926,Shrewsbury and Atcham,0.018384218
397,398,E14000927,Sittingbourne and Sheppey,0.024101973
398,399,E14000928,Skipton and Ripon,0.04062288
399,400,E14000929,Sleaford and North Hykeham,0.025783407
400,401,E14000930,Slough,0.03073001
401,402,E14000931,Solihull,0.020572186
402,403,E14000932,Somerton and Frome,0.048156057
403,404,E14000933,South Basildon and East Thurrock,0.02952075
404,405,E14000934,South Cambridgeshire,0.020848274
405,406,E14000935,South Derbyshire,0.01073122
406,407,E14000936,South Dorset,0.070694804
407,408,E14000937,South East Cambridgeshire,0.021493157
408,409,E14000938,South East Cornwall,0.07082232
409,410,E14000939,South Holland and The Deepings,0.025347369
410,411,E14000940,South Leicestershire,0.032037895
411,412,E14000941,South Norfolk,0.028590297
412,413,E14000942,South Northamptonshire,0.042122364
413,414,E14000943,South Ribble,0.09547186
414,415,E14000944,South Shields,0.02254653
415,416,E14000945,South Staffordshire,0.028246164
416,417,E14000946,South Suffolk,0.024047932
417,418,E14000947,South Swindon,0.039791822
418,419,E14000948,South Thanet,0.058916807
419,420,E14000949,South West Bedfordshire,0.034111977
420,421,E14000950,South West Devon,0.081169605
421,422,E14000951,South West Hertfordshire,0.035380602
422,423,E14000952,South West Norfolk,0.027825436
423,424,E14000953,South West Surrey,0.031250793
424,425,E14000954,South West Wiltshire,0.03715668
425,426,E14000955,"Southampton, Itchen",0.047223568
426,427,E14000956,"Southampton, Test",0.045761347
427,428,E14000957,Southend West,0.04301977
428,429,E14000958,Southport,0.11768627
429,430,E14000959,Spelthorne,0.036544085
430,431,E14000960,St Albans,0.03732562
431,432,E14000961,St Austell and Newquay,0.0931803
432,433,E14000962,St Helens North,0.06207776
433,434,E14000963,St Helens South and Whiston,0.06207776
434,435,E14000964,St Ives,0.080568194
