,region,constituency,name,t_trend
405,406,E14000935,South Derbyshire,0.1967634
406,407,E14000936,South Dorset,0.17959295
407,408,E14000937,South East Cambridgeshire,0.2227593
408,409,E14000938,South East Cornwall,0.14994198
409,410,E14000939,South Holland and The Deepings,0.21756917
410,411,E14000940,South Leicestershire,0.20465271
411,412,E14000941,South Norfolk,0.2159826
412,413,E14000942,South Northamptonshire,0.21156704
413,414,E14000943,South Ribble,0.17123647
414,415,E14000944,South Shields,0.16496354
415,416,E14000945,South Staffordshire,0.19383015
416,417,E14000946,South Suffolk,0.21818069
417,418,E14000947,South Swindon,0.19894241
418,419,E14000948,South Thanet,0.21635532
419,420,E14000949,South West Bedfordshire,0.2143338
420,421,E14000950,South West Devon,0.15366834
421,422,E14000951,South West Hertfordshire,0.21316898
422,423,E14000952,South West Norfolk,0.21962515
423,424,E14000953,South West Surrey,0.20962304
424,425,E14000954,South West Wiltshire,0.18991664
425,426,E14000955,"Southampton, Itchen",0.19136742
426,427,E14000956,"Southampton, Test",0.19136742
427,428,E14000957,Southend West,0.21179995
428,429,E14000958,Southport,0.16696088
429,430,E14000959,Spelthorne,0.2146667
430,431,E14000960,St Albans,0.21401802
431,432,E14000961,St Austell and Newquay,0.1442002
432,433,E14000962,St Helens North,0.17593205
433,434,E14000963,St Helens South and Whiston,0.18032365
434,435,E14000964,St Ives,0.13252932
435,436,E14000965,Stafford,0.19192801
436,437,E14000966,Staffordshire Moorlands,0.18263997
437,438,E14000967,Stalybridge and Hyde,0.1763213
438,439,E14000968,Stevenage,0.21840754
439,440,E14000969,Stockport,0.18435077
440,441,E14000970,Stockton North,0.17767648
441,442,E14000971,Stockton South,0.1832863
442,443,E14000972,Stoke-on-Trent Central,0.18814123
443,444,E14000973,Stoke-on-Trent North,0.18813533
444,445,E14000974,Stoke-on-Trent South,0.18814123
445,446,E14000975,Stone,0.189633
446,447,E14000976,Stourbridge,0.19555509
447,448,E14000977,Stratford-on-Avon,0.20281422
448,449,E14000978,Streatham,0.21497713
449,450,E14000979,Stretford and Urmston,0.18579035
450,451,E14000980,Stroud,0.19448341
451,452,E14000981,Suffolk Coastal,0.21815987
452,453,E14000982,Sunderland Central,0.16919725
453,454,E14000983,Surrey Heath,0.21289481
454,455,E14000984,Sutton and Cheam,0.21494526
455,456,E14000985,Sutton Coldfield,0.19769466
456,457,E14000986,Tamworth,0.19811681
457,458,E14000987,Tatton,0.1876594
458,459,E14000988,Taunton Deane,0.18058404
459,460,E14000989,Telford,0.19453517
460,461,E14000990,Tewkesbury,0.19805883
461,462,E14000991,The Cotswolds,0.19733879
462,463,E14000992,The Wrekin,0.19483371
463,464,E14000993,Thirsk and Malton,0.18650977
464,465,E14000994,Thornbury and Yate,0.18919851
465,466,E14000995,Thurrock,0.21429719
466,467,E14000996,Tiverton and Honiton,0.17569461
467,468,E14000997,Tonbridge and Malling,0.21560809
468,469,E14000998,Tooting,0.21494526
469,470,E14000999,Torbay,0.1576028
470,471,E14001000,Torridge and West Devon,0.15480371
471,472,E14001001,Totnes,0.1533989
472,473,E14001002,Tottenham,0.21594808
473,474,E14001003,Truro and Falmouth,0.14076404
474,475,E14001004,Tunbridge Wells,0.2156435
475,476,E14001005,Twickenham,0.21500723
476,477,E14001006,Tynemouth,0.16587427
477,478,E14001007,Uxbridge and South Ruislip,0.21420512
478,479,E14001008,Vauxhall,0.21804929
479,480,E14001009,Wakefield,0.18743059
480,481,E14001010,Wallasey,0.16597402
481,482,E14001011,Walsall North,0.19460364
482,483,E14001012,Walsall South,0.19460364
483,484,E14001013,Walthamstow,0.21677734
484,485,E14001014,Wansbeck,0.15968543
485,486,E14001015,Wantage,0.2057196
486,487,E14001016,Warley,0.19632356
487,488,E14001017,Warrington North,0.18478194
488,489,E14001018,Warrington South,0.1842888
489,490,E14001019,Warwick and Leamington,0.20329002
490,491,E14001020,Washington and Sunderland West,0.16923976
491,492,E14001021,Watford,0.21401802
492,493,E14001022,Waveney,0.21756572
493,494,E14001023,Wealden,0.21261133
494,495,E14001024,Weaver Vale,0.18791014
495,496,E14001025,Wellingborough,0.21643776
496,497,E14001026,Wells,0.18486123
497,498,E14001027,Welwyn Hatfield,0.21705535
498,499,E14001028,Wentworth and Dearne,0.1983876
499,500,E14001029,West Bromwich East,0.19632356
500,501,E14001030,West Bromwich West,0.19632356
501,502,E14001031,West Dorset,0.18086082
502,503,E14001032,West Ham,0.21788462
503,504,E14001033,West Lancashire,0.16921063
504,505,E14001034,West Suffolk,0.22136718
505,506,E14001035,West Worcestershire,0.19823042
506,507,E14001036,Westminster North,0.21723123
507,508,E14001037,Westmorland and Lonsdale,0.17005742
508,509,E14001038,Weston-Super-Mare,0.18395355
509,510,E14001039,Wigan,0.17514616
510,511,E14001040,Wimbledon,0.21494526
511,512,E14001041,Winchester,0.19963709
512,513,E14001042,Windsor,0.21314035
513,514,E14001043,Wirral South,0.17132266
514,515,E14001044,Wirral West,0.16597402
515,516,E14001045,Witham,0.21347992
516,517,E14001046,Witney,0.20478517
517,518,E14001047,Woking,0.21300548
518,519,E14001048,Wokingham,0.20836364
519,520,E14001049,Wolverhampton North East,0.19368878
520,521,E14001050,Wolverhampton South East,0.19368878
521,522,E14001051,Wolverhampton South West,0.19323489
522,523,E14001052,Worcester,0.19880252
523,524,E14001053,Workington,0.15617703
524,525,E14001054,Worsley and Eccles South,0.18315674
525,526,E14001055,Worthing West,0.2028385
526,527,E14001056,Wycombe,0.21079803
527,528,E14001057,Wyre and Preston North,0.1691045
528,529,E14001058,Wyre Forest,0.19593962
529,530,E14001059,Wythenshawe and Sale East,0.18562035
530,531,E14001060,Yeovil,0.18571207
531,532,E14001061,York Central,0.19342022
532,533,E14001062,York Outer,0.19369365
533,534,N06000001,Belfast East,0.098930255
534,535,N06000002,Belfast North,0.09647225
535,536,N06000003,Belfast South,0.098070584
536,537,N06000004,Belfast West,0.09647225
537,538,N06000005,East Antrim,0.09795446
538,539,N06000006,East Londonderry,0.095510975
539,540,N06000007,Fermanagh and South Tyrone,0.09080999
540,541,N06000008,Foyle,0.08929832
541,542,N06000009,Lagan Valley,0.096061446
542,543,N06000010,Mid Ulster,0.09952003
543,544,N06000011,Newry and Armagh,0.09810168
544,545,N06000012,North Antrim,0.09746281
545,546,N06000013,North Down,0.10079213
546,547,N06000014,South Antrim,0.0967355
547,548,N06000015,South Down,0.09801872
548,549,N06000016,Strangford,0.10048623
549,550,N06000017,Upper Bann,0.09798146
550,551,N06000018,West Tyrone,0.092212975
551,552,S14000001,Aberdeen North,0.14277804
552,553,S14000002,Aberdeen South,0.14101385
553,554,S14000003,Airdrie and Shotts,0.14698651
554,555,S14000004,Angus,0.14732452
555,556,S14000005,Argyll and Bute,0.13001984
556,557,S14000006,"Ayr, Carrick and Cumnock",0.12967813
557,558,S14000007,Banff and Buchan,0.13401094
558,559,S14000008,"Berwickshire, Roxburgh and Selkirk",0.151038
559,560,S14000009,"Caithness, Sutherland and Easter Ross",0.12705757
560,561,S14000010,Central Ayrshire,0.13044739
561,562,S14000011,"Coatbridge, Chryston and Bellshill",0.1489831
562,563,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",0.1518582
563,564,S14000013,Dumfries and Galloway,0.13950257
564,565,S14000014,"Dumfriesshire, Clydesdale and Tweeddale",0.1485488
565,566,S14000015,Dundee East,0.14544912
566,567,S14000016,Dundee West,0.14685503
567,568,S14000017,Dunfermline and West Fife,0.14981842
568,569,S14000018,East Dunbartonshire,0.1494671
569,570,S14000019,"East Kilbride, Strathaven and Lesmahagow",0.1418314
570,571,S14000020,East Lothian,0.13743183
571,572,S14000021,East Renfrewshire,0.1431059
572,573,S14000022,Edinburgh East,0.14259447
573,574,S14000023,Edinburgh North and Leith,0.14259447
574,575,S14000024,Edinburgh South,0.14259447
575,576,S14000025,Edinburgh South West,0.14493945
576,577,S14000026,Edinburgh West,0.14517319
577,578,S14000027,Na h-Eileanan an Iar,0.08930729
578,579,S14000028,Falkirk,0.15226153
579,580,S14000029,Glasgow Central,0.14566544
580,581,S14000030,Glasgow East,0.15021846
581,582,S14000031,Glasgow North,0.1494671
582,583,S14000032,Glasgow North East,0.15021846
583,584,S14000033,Glasgow North West,0.14830612
584,585,S14000034,Glasgow South,0.14566544
585,586,S14000035,Glasgow South West,0.14414619
586,587,S14000036,Glenrothes,0.14527324
587,588,S14000037,Gordon,0.14110698
588,589,S14000038,Inverclyde,0.14336738
589,590,S14000039,"Inverness, Nairn, Badenoch and Strathspey",0.14805081
590,591,S14000040,Kilmarnock and Loudoun,0.13486645
591,592,S14000041,Kirkcaldy and Cowdenbeath,0.14345768
592,593,S14000042,Lanark and Hamilton East,0.14307958
593,594,S14000043,Linlithgow and East Falkirk,0.14904583
594,595,S14000044,Livingston,0.14696829
595,596,S14000045,Midlothian,0.14366254
596,597,S14000046,Moray,0.14373603
597,598,S14000047,Motherwell and Wishaw,0.14612994
598,599,S14000048,North Ayrshire and Arran,0.12685847
599,600,S14000049,North East Fife,0.14525989
